lat,long,name,stand_count,overall_canopy_size,canopy_size (cm2/seedlings)
36.412,-89.6963,DJI_0152.JPG_-1_11_36.412_-89.6963.tiff,13.780173,405.9831,29.461393
36.412,-89.6963,DJI_0152.JPG_0_3_36.412_-89.6963.tiff,13.009831,320.26297,24.616997
36.412,-89.6963,DJI_0152.JPG_0_4_36.412_-89.6963.tiff,13.597329,309.8673,22.788836
36.412,-89.6963,DJI_0152.JPG_0_5_36.412_-89.6963.tiff,14.546626,394.59305,27.126087
36.412,-89.6963,DJI_0152.JPG_0_6_36.412_-89.6963.tiff,12.927813,311.19196,24.071508
36.412,-89.6963,DJI_0152.JPG_0_7_36.412_-89.6963.tiff,11.423091,283.44434,24.813278
36.412,-89.6963,DJI_0152.JPG_0_8_36.412_-89.6963.tiff,11.119403,296.72684,26.685501
36.412,-89.6963,DJI_0152.JPG_0_9_36.412_-89.6963.tiff,11.708448,280.2333,23.934282
36.412,-89.6963,DJI_0152.JPG_0_10_36.412_-89.6963.tiff,14.124915,376.07434,26.624891
36.412,-89.6963,DJI_0152.JPG_0_11_36.412_-89.6963.tiff,12.803351,394.117,30.782331
36.412,-89.6963,DJI_0152.JPG_1_3_36.412_-89.6963.tiff,10.215075,259.9664,25.449291
36.412,-89.6963,DJI_0152.JPG_1_4_36.412_-89.6963.tiff,12.596177,395.99927,31.438051
36.412,-89.6963,DJI_0152.JPG_1_5_36.412_-89.6963.tiff,11.580928,292.45566,25.253214
36.412,-89.6963,DJI_0152.JPG_1_6_36.412_-89.6963.tiff,12.546649,301.5145,24.031477
36.412,-89.6963,DJI_0152.JPG_1_7_36.412_-89.6963.tiff,12.999472,309.48175,23.807257
36.412,-89.6963,DJI_0152.JPG_1_8_36.412_-89.6963.tiff,11.604009,310.34064,26.74426
36.412,-89.6963,DJI_0152.JPG_1_9_36.412_-89.6963.tiff,12.323116,346.05405,28.0817
36.412,-89.6963,DJI_0152.JPG_1_10_36.412_-89.6963.tiff,13.747676,292.08063,21.24582
36.412,-89.6963,DJI_0152.JPG_1_11_36.412_-89.6963.tiff,13.439599,405.98965,30.208466
36.412,-89.6963,DJI_0152.JPG_2_3_36.412_-89.6963.tiff,11.410348,302.3939,26.501724
36.412,-89.6963,DJI_0152.JPG_2_4_36.412_-89.6963.tiff,13.538396,359.6445,26.56478
36.412,-89.6963,DJI_0152.JPG_2_5_36.412_-89.6963.tiff,12.810926,319.36688,24.929256
36.412,-89.6963,DJI_0152.JPG_2_6_36.412_-89.6963.tiff,11.72734,250.84764,21.389986
36.412,-89.6963,DJI_0152.JPG_2_7_36.412_-89.6963.tiff,11.783343,261.39966,22.183828
36.412,-89.6963,DJI_0152.JPG_2_8_36.412_-89.6963.tiff,14.985893,351.08685,23.427822
36.412,-89.6963,DJI_0152.JPG_2_9_36.412_-89.6963.tiff,12.321649,286.4849,23.250532
36.412,-89.6963,DJI_0152.JPG_2_10_36.412_-89.6963.tiff,11.943088,260.0998,21.77827
36.412,-89.6963,DJI_0152.JPG_2_11_36.412_-89.6963.tiff,12.878741,410.04498,31.838902
36.412,-89.6963,DJI_0153.JPG_-2_3_36.412_-89.6963.tiff,13.1657915,357.8081,27.177105
36.412,-89.6963,DJI_0153.JPG_-2_4_36.412_-89.6963.tiff,12.655278,355.37976,28.081545
36.412,-89.6963,DJI_0153.JPG_-2_5_36.412_-89.6963.tiff,12.196553,368.24362,30.192434
36.412,-89.6963,DJI_0153.JPG_-2_6_36.412_-89.6963.tiff,12.515653,311.7365,24.907732
36.412,-89.6963,DJI_0153.JPG_-2_7_36.412_-89.6963.tiff,12.146123,342.56656,28.20378
36.412,-89.6963,DJI_0153.JPG_-2_8_36.412_-89.6963.tiff,12.611878,337.14246,26.732136
36.412,-89.6963,DJI_0153.JPG_-2_9_36.412_-89.6963.tiff,11.277136,289.24124,25.648466
36.412,-89.6963,DJI_0153.JPG_-2_10_36.412_-89.6963.tiff,11.639436,350.8174,30.140413
36.412,-89.6963,DJI_0153.JPG_-1_3_36.412_-89.6963.tiff,14.360399,412.80032,28.74574
36.412,-89.6963,DJI_0153.JPG_-1_4_36.412_-89.6963.tiff,13.779959,378.55267,27.471249
36.412,-89.6963,DJI_0153.JPG_-1_5_36.412_-89.6963.tiff,12.396053,314.40552,25.363356
36.412,-89.6963,DJI_0153.JPG_-1_6_36.412_-89.6963.tiff,13.088647,290.83368,22.2203
36.412,-89.6963,DJI_0153.JPG_-1_7_36.412_-89.6963.tiff,11.659087,324.84836,27.862246
36.412,-89.6963,DJI_0153.JPG_-1_8_36.412_-89.6963.tiff,12.536981,341.92456,27.273277
36.412,-89.6963,DJI_0153.JPG_-1_9_36.412_-89.6963.tiff,12.514043,293.31525,23.438889
36.412,-89.6963,DJI_0153.JPG_-1_10_36.412_-89.6963.tiff,11.40079,291.58945,25.576248
36.412,-89.6963,DJI_0153.JPG_0_3_36.412_-89.6963.tiff,12.767592,334.8033,26.2229
36.412,-89.6963,DJI_0153.JPG_0_4_36.412_-89.6963.tiff,12.896549,332.7037,25.797886
36.412,-89.6963,DJI_0153.JPG_0_5_36.412_-89.6963.tiff,12.604024,328.5993,26.070984
36.412,-89.6963,DJI_0153.JPG_0_6_36.412_-89.6963.tiff,11.423466,267.3683,23.405182
36.412,-89.6963,DJI_0153.JPG_0_7_36.412_-89.6963.tiff,10.519992,239.34927,22.75185
36.412,-89.6963,DJI_0153.JPG_0_8_36.412_-89.6963.tiff,13.043244,380.90775,29.203451
36.412,-89.6963,DJI_0153.JPG_0_9_36.412_-89.6963.tiff,13.147427,313.40054,23.837406
36.412,-89.6963,DJI_0153.JPG_0_10_36.412_-89.6963.tiff,12.4828005,342.78583,27.460651
36.412,-89.6963,DJI_0153.JPG_1_3_36.412_-89.6963.tiff,13.717017,322.94324,23.543255
36.412,-89.6963,DJI_0153.JPG_1_4_36.412_-89.6963.tiff,14.828742,422.39215,28.484692
36.412,-89.6963,DJI_0153.JPG_1_5_36.412_-89.6963.tiff,13.695421,294.5408,21.506517
36.412,-89.6963,DJI_0153.JPG_1_6_36.412_-89.6963.tiff,10.680027,204.85109,19.180765
36.412,-89.6963,DJI_0153.JPG_1_7_36.412_-89.6963.tiff,11.9345255,301.18793,25.23669
36.412,-89.6963,DJI_0153.JPG_1_8_36.412_-89.6963.tiff,12.339076,294.88287,23.898294
